Date,Open,High,Low,Close,Adj Close,Volume
09/03/2010,7.796786,8.035714,7.781785,7.965,6.882867,920259200
10/03/2010,7.993928,8.052857,7.971428,8.03,6.939038,596218000
11/03/2010,7.996786,8.053572,7.975714,8.053572,6.959407,405700400
12/03/2010,8.120358,8.133214,8.0625,8.092857,6.993356,416323600
15/03/2010,8.049286,8.053572,7.866071,7.994286,6.908176,493502800
16/03/2010,8.006429,8.035,7.946786,8.016071,6.927001,446908000
17/03/2010,8.032143,8.0875,7.973928,8.004286,6.916819,450956800
18/03/2010,8.003572,8.035714,7.950357,8.023214,6.933173,342109600
19/03/2010,8.028214,8.044286,7.901072,7.9375,6.859105,559445600
22/03/2010,7.873929,8.071428,7.8625,8.026786,6.936261,456419600
23/03/2010,8.058572,8.170714,8.003572,8.155714,7.047673,602431200
24/03/2010,8.13,8.221429,8.125357,8.191786,7.078844,597780400
25/03/2010,8.247143,8.248929,8.080358,8.094643,6.994898,542284400
26/03/2010,8.176785,8.283929,8.1625,8.246428,7.126063,640875200
29/03/2010,8.321428,8.3525,8.272142,8.299643,7.172047,540744400
30/03/2010,8.45,8.481428,8.366072,8.423214,7.278829,527310000
31/03/2010,8.410357,8.450357,8.373571,8.392858,7.252596,430659600
01/04/2010,8.478929,8.526072,8.3125,8.4275,7.282534,603145200
05/04/2010,8.392143,8.518214,8.384643,8.5175,7.360304,684507600
06/04/2010,8.507143,8.58,8.464286,8.555,7.392711,447017200
07/04/2010,8.555357,8.64,8.523571,8.592857,7.425426,628502000
08/04/2010,8.587143,8.626429,8.501429,8.569643,7.405362,572989200
09/04/2010,8.6225,8.638928,8.587857,8.635357,7.462149,334182800
12/04/2010,8.65,8.681071,8.636071,8.653214,7.477583,333026400
13/04/2010,8.637857,8.671429,8.611072,8.658215,7.481902,306210800
14/04/2010,8.76,8.778929,8.716785,8.774643,7.582513,404076400
15/04/2010,8.777857,8.893929,8.768214,8.89,7.682199,376784800
16/04/2010,8.8775,8.969286,8.733929,8.835714,7.635287,750545600
19/04/2010,8.8225,8.853214,8.634643,8.823929,7.625102,566924400
20/04/2010,8.876429,8.901786,8.677143,8.735357,7.548563,738326400
21/04/2010,9.242857,9.294642,9.133214,9.257857,8.000078,982391200
22/04/2010,9.222857,9.526786,9.15,9.516786,8.223827,793424800
23/04/2010,9.571072,9.720715,9.535714,9.6725,8.358383,796955600
26/04/2010,9.71,9.730714,9.578215,9.625,8.31734,479068800
27/04/2010,9.545357,9.565714,9.304286,9.358571,8.087106,709343600
28/04/2010,9.401786,9.428572,9.1575,9.342857,8.073527,758402400
29/04/2010,9.393572,9.642858,9.3575,9.594286,8.290798,558840800
30/04/2010,9.618215,9.663215,9.321428,9.324643,8.057792,542463600
03/05/2010,9.422857,9.567142,9.388572,9.5125,8.220124,454342000
04/05/2010,9.388928,9.403214,9.169642,9.238571,7.98341,723819600
05/05/2010,9.036786,9.219286,8.883214,9.1425,7.900392,883103200
06/05/2010,9.065357,9.223214,7.116071,8.794642,7.599795,1285860800
07/05/2010,8.703929,8.806071,8.043214,8.423572,7.279138,1676018400
10/05/2010,8.9375,9.094643,8.876071,9.071072,7.83867,984306400
11/05/2010,8.994286,9.281786,8.946428,9.161428,7.916748,848906800
12/05/2010,9.258572,9.3975,9.239285,9.360357,8.088652,654379600
13/05/2010,9.400714,9.464286,9.157143,9.227143,7.973536,599712400
14/05/2010,9.112857,9.16,8.910714,9.065,7.833423,759362800
17/05/2010,9.096429,9.149285,8.846786,9.079286,7.845766,762834800
18/05/2010,9.177857,9.233929,8.937857,9.012857,7.788363,782678400
19/05/2010,8.910714,9.032857,8.744643,8.869286,7.664299,1025726800
20/05/2010,8.638572,8.708928,8.436071,8.491428,7.337776,1282915200
21/05/2010,8.315,8.732142,8.2625,8.654285,7.478506,1223891200
24/05/2010,8.831429,8.960714,8.795,8.812857,7.615535,754238800
25/05/2010,8.548214,8.812857,8.47,8.757857,7.568008,1048006400
26/05/2010,8.931429,9.004642,8.705358,8.718214,7.53375,850654000
27/05/2010,8.95,9.0675,8.896786,9.048214,7.818917,666282400
28/05/2010,9.263928,9.264286,9.048214,9.174286,7.927861,815614800
01/06/2010,9.274643,9.497857,9.248571,9.315357,8.049766,876472800
02/06/2010,9.447857,9.457143,9.2975,9.426785,8.146054,688548000
03/06/2010,9.470715,9.483929,9.300357,9.397142,8.120439,650106800
04/06/2010,9.221786,9.353572,9.093928,9.141429,7.899468,758304400
07/06/2010,9.224643,9.255357,8.948215,8.962143,7.744541,886942000
08/06/2010,9.044286,9.064285,8.773214,8.904643,7.69485,1000770400
09/06/2010,8.981071,8.996428,8.660357,8.685715,7.505666,854630000
10/06/2010,8.744286,8.963572,8.65,8.946786,7.731267,776356000
11/06/2010,8.865357,9.066428,8.834642,9.053928,7.823856,545759200
14/06/2010,9.141429,9.255357,9.071786,9.081429,7.847616,602960400
15/06/2010,9.13,9.280357,9.125,9.274643,8.014581,585074000
16/06/2010,9.325,9.5625,9.308214,9.544642,8.247901,783678000
17/06/2010,9.664286,9.746428,9.625,9.709642,8.390481,872855200
18/06/2010,9.723214,9.821428,9.693571,9.788215,8.45838,784621600
21/06/2010,9.9175,9.964643,9.5975,9.648929,8.338018,776490400
22/06/2010,9.72,9.856071,9.696428,9.780357,8.45159,717262000
23/06/2010,9.806429,9.809286,9.567857,9.6775,8.362708,768457200
24/06/2010,9.678572,9.757143,9.575,9.607142,8.301908,714277200
25/06/2010,9.645,9.6525,9.493215,9.525,8.230925,549942400
28/06/2010,9.533215,9.633928,9.447143,9.582143,8.280309,584948000
29/06/2010,9.432858,9.4425,9.082143,9.148929,7.905947,1133344800
30/06/2010,9.168214,9.213214,8.928928,8.983214,7.762749,739452000
01/07/2010,9.082143,9.1,8.686429,8.874286,7.668618,1022896000
02/07/2010,8.946072,8.961785,8.685715,8.819285,7.621089,693842800
06/07/2010,8.964286,9.028571,8.791429,8.879642,7.673245,615235600
07/07/2010,8.946072,9.241786,8.919642,9.238214,7.983104,654556000
08/07/2010,9.374286,9.389286,9.103214,9.2175,7.965201,738144400
09/07/2010,9.174643,9.282143,9.112857,9.272142,8.012422,433322400
12/07/2010,9.233214,9.351786,9.102143,9.188929,7.940513,562878400
13/07/2010,9.154285,9.157143,8.801071,8.992857,7.771081,1190924000
14/07/2010,8.906428,9.135715,8.892858,9.026072,7.799782,812047600
15/07/2010,8.865357,9.1775,8.832143,8.980357,7.760276,824866000
16/07/2010,9.042143,9.106071,8.871786,8.925,7.712444,1039858400
19/07/2010,8.924286,8.924286,8.557143,8.770715,7.579117,1024478000
20/07/2010,8.675,9.032143,8.571786,8.996072,7.773859,1074950800
21/07/2010,9.4675,9.469643,9.071428,9.08,7.846385,1185671200
22/07/2010,9.202857,9.285714,9.118215,9.250714,7.993906,645318800
23/07/2010,9.181786,9.299286,9.152857,9.283571,8.022297,533388800
26/07/2010,9.285714,9.289286,9.203929,9.26,8.00193,420551600
27/07/2010,9.316786,9.457143,9.296429,9.431429,8.150067,584771600
28/07/2010,9.416785,9.499643,9.294642,9.32,8.053777,519985200
29/07/2010,9.311071,9.380357,9.146428,9.218214,7.96582,643806800
30/07/2010,9.138928,9.275,9.103572,9.1875,7.939281,448210000
02/08/2010,9.301429,9.378214,9.272142,9.351786,8.081243,428055600
03/08/2010,9.321786,9.402143,9.265,9.354643,8.083712,417653600
04/08/2010,9.387143,9.438571,9.296785,9.392143,8.116117,420375200
05/08/2010,9.3475,9.399285,9.305357,9.346429,8.076613,289097200
06/08/2010,9.277857,9.338928,9.201072,9.288929,8.026928,444897600
09/08/2010,9.338572,9.3625,9.270357,9.348214,8.078158,303128000
10/08/2010,9.280357,9.301785,9.198215,9.264643,8.005939,451920000
11/08/2010,9.121428,9.131785,8.921785,8.935357,7.721392,620054400
12/08/2010,8.810357,9.039286,8.79,8.9925,7.770772,534920400
13/08/2010,8.9875,8.995714,8.896071,8.896428,7.687754,354869200
16/08/2010,8.842143,8.928928,8.807858,8.844286,7.642696,318430000
17/08/2010,8.931429,9.093928,8.9,8.998929,7.776328,422640400
18/08/2010,9.012857,9.095357,8.985,9.038215,7.810274,339696000
19/08/2010,9.03,9.052857,8.881429,8.924286,7.711823,426706000
20/08/2010,8.906786,9.068571,8.892858,8.915714,7.704421,384230000
23/08/2010,8.9925,9,8.758928,8.778571,7.585908,414041600
24/08/2010,8.666785,8.678572,8.523214,8.568929,7.404747,602565600
25/08/2010,8.501429,8.713928,8.471429,8.674643,7.496099,596867600
26/08/2010,8.766071,8.776786,8.581429,8.581429,7.415548,466505200
27/08/2010,8.633928,8.664643,8.412857,8.629286,7.456904,548391200
30/08/2010,8.598572,8.776786,8.595715,8.660714,7.484062,383289200
31/08/2010,8.6375,8.734285,8.583928,8.682143,7.502583,420786800
01/09/2010,8.838214,8.980714,8.795714,8.940357,7.725714,697037600
02/09/2010,8.973572,9.006071,8.8775,9.006071,7.782502,415427600
